hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,14651.191569364733,10789.0,22584.0,1922.1713073887809
1,13891.478432924416,10158.0,22297.0,1897.7262384608398
2,13432.062995245642,9929.0,22241.0,1921.590969938573
3,13184.049007936508,9776.0,22227.0,1958.6047228038462
4,13095.19335048486,9623.0,22486.0,2007.6672031474557
5,13240.535813217253,9581.0,22693.0,2079.7525854644473
6,13802.401464186783,9604.0,23412.0,2207.7596197002563
7,14781.668381480016,9701.0,24210.0,2479.5367716691867
8,15478.830233478433,10015.0,24739.0,2571.766057619496
9,15822.653739612188,10582.0,24679.0,2348.5207016031923
10,16084.283933518005,11168.0,24462.0,2148.937346616338
11,16306.315591610606,11395.0,24134.0,2076.9143996890516
12,16398.177087455482,11581.0,23516.0,2094.9851227767717
13,16477.793035219627,11517.0,24356.0,2190.369401332
14,16534.660201860283,11207.0,25695.0,2328.461383744891
15,16492.810645033638,10920.0,25164.0,2435.8288299907067
16,16444.50613375544,10635.0,25056.0,2503.4201540501126
17,16542.038781163435,10511.0,25140.0,2529.5149112440513
18,16762.94004748714,10904.0,24878.0,2512.7067914732456
19,16868.728333992876,11130.0,24538.0,2482.0973785882125
20,16821.3351800554,11390.0,24065.0,2316.9620724650295
21,16763.806292045905,11478.0,23822.0,2141.079829018339
22,16468.967550455087,11473.0,23518.0,2093.875337475807
23,15632.594182825485,11255.0,23075.0,2005.3374968531268
