month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,17431.26900921659,10840.0,24703.0,2320.0395901946827
2,February,17022.815084388185,10463.0,24739.0,2202.085805312678
3,March,15376.835720465251,9917.0,22556.0,1904.3357112844951
4,April,13823.857511410994,9698.0,19390.0,1627.263660528881
5,May,14006.393817204302,9662.0,22549.0,2109.6458959491156
6,June,15630.021825396825,9669.0,23938.0,2737.4550783714403
7,July,16349.853302611367,9701.0,24597.0,3044.730919433884
8,August,16424.88169941364,10214.0,25164.0,2972.6660922276665
9,September,14657.280555555555,9801.0,23605.0,2488.235954039058
10,October,13938.926431041107,9581.0,25695.0,1763.2493696601068
11,November,14930.405676292547,10270.0,21181.0,1780.90993641655
12,December,16445.609083925487,9708.0,23158.0,2151.554658370862
