Region,Rows,Peak_Hour,Peak_Hour_Average_MW,Lowest_Hour,Lowest_Hour_Average_MW,Highest_Day,Highest_Day_Average_MW,Lowest_Day,Lowest_Day_Average_MW,Highest_Month,Highest_Month_Average_MW,Lowest_Month,Lowest_Month_Average_MW
PJMW,143206,19:00,6199.29,04:00,4672.54,Wednesday,5802.37,Sunday,5149.64,January,6447.67,October,4997.64
DOM,116189,19:00,12467.07,04:00,8777.06,Tuesday,11207.07,Sunday,10383.89,July,12801.09,April,9182.09
COMED,66497,19:00,12828.56,05:00,9215.15,Tuesday,11913.07,Sunday,10254.16,July,13564.19,April,9995.94
PJME,145366,19:00,36426.63,04:00,25414.92,Tuesday,33272.27,Sunday,29411.87,July,37881.97,April,27863.34
EKPC,45334,20:00,1654.38,04:00,1225.83,Thursday,1485.99,Sunday,1415.03,January,1913.35,October,1184.82
DEOK,57739,19:00,3468.52,04:00,2527.66,Thursday,3214.81,Sunday,2862.71,July,3541.34,April,2666.52
FE,62874,19:00,8558.77,04:00,6439.62,Tuesday,8141.01,Sunday,6983.57,July,8639.48,October,7037.3
AEP,121273,19:00,16868.73,04:00,13095.19,Tuesday,16057.62,Sunday,14200.75,January,17431.27,April,13823.86
DAYTON,121275,19:00,2257.96,04:00,1643.77,Tuesday,2146.55,Sunday,1794.13,August,2264.32,April,1791.6
DUQ,119068,18:00,1853.8,04:00,1356.9,Wednesday,1720.15,Sunday,1524.39,July,1912.24,April,1463.7
NI,58450,19:00,13186.22,05:00,9296.95,Tuesday,12274.05,Sunday,10368.12,July,13533.98,April,10275.19
