hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,11271.850595452905,8413.0,20016.0,1696.6230449724505
1,10487.46445326597,7942.0,18510.0,1515.7272371671916
2,9911.372294372295,7594.0,17311.0,1372.7891387290927
3,9541.342381469418,7385.0,16438.0,1270.9322363901636
4,9304.747022735475,7275.0,15702.0,1198.934007220135
5,9215.146156622159,7286.0,15201.0,1160.6971980192488
6,9347.616023096356,7263.0,15081.0,1155.87177743291
7,9816.18007939372,7237.0,15341.0,1230.1839343468296
8,10578.081198123422,7269.0,16237.0,1435.5108921785738
9,11159.382894261998,7520.0,17725.0,1574.5871290548719
10,11569.594370263443,7934.0,19091.0,1638.2021472078197
11,11893.320101046553,8223.0,20346.0,1756.3752772303076
12,12178.442800433057,8257.0,21622.0,1939.3511494188683
13,12340.653193792854,8217.0,22510.0,2123.1704371796923
14,12438.949115842655,8256.0,23119.0,2300.937544892627
15,12540.006495849873,8092.0,23446.0,2472.2768749733877
16,12559.719956694335,8014.0,23587.0,2596.186456697078
17,12573.493323709852,7866.0,23713.0,2664.2477429107885
18,12708.983038614218,7881.0,23753.0,2641.6821651071214
19,12828.555395164201,7914.0,23582.0,2547.6510456949595
20,12715.98520389751,8038.0,23089.0,2350.4098453880842
21,12601.97040779502,8621.0,22458.0,2110.657695123298
22,12456.346445326597,9017.0,22012.0,1971.4933216923203
23,12039.568025983399,8853.0,21407.0,1879.4902957490474
