month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,11950.614854646277,8218.0,16514.0,1471.4121776416212
2,February,11625.380162241889,7783.0,15279.0,1408.3869016646827
3,March,10734.586641991924,7563.0,14466.0,1269.47798362034
4,April,9995.937847222222,7275.0,12745.0,1207.2733179950003
5,May,10435.957325268817,7237.0,18397.0,1930.6433380438457
6,June,12176.685243055555,7481.0,22830.0,2755.7175792682256
7,July,13564.192540322581,7506.0,23753.0,3212.4526039629895
8,August,12987.270686703443,7838.0,22576.0,2805.815422524514
9,September,11386.256944444445,7263.0,21900.0,2590.412596819597
10,October,10122.947964669738,7333.0,13689.0,1379.0199634913836
11,November,10545.020829200555,7509.0,14653.0,1372.1941411023388
12,December,11390.844854070661,7927.0,15443.0,1464.0339710987685
