hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,1901.7080942014645,1048.0,2972.0,271.842468863604
1,1786.8031262366442,1051.0,2751.0,255.59014768188067
2,1710.8833201267828,1000.0,2694.0,247.66358931516288
3,1664.2617063492064,1022.0,2657.0,243.71193692127838
4,1643.7712702809656,1011.0,2661.0,244.66591057002896
5,1663.0411555203798,1044.0,2715.0,252.293237296452
6,1749.7912544519193,1129.0,2826.0,274.0256353646804
7,1906.2657301147606,1193.0,2989.0,320.8911048201128
8,2020.9000791452315,1243.0,3082.0,343.3617716951317
9,2077.819351009102,1311.0,3087.0,319.0306141519541
10,2132.1355362089434,1396.0,3132.0,304.37089322198176
11,2178.3003561535415,1437.0,3329.0,309.7641908934868
12,2198.388009497428,1461.0,3501.0,323.7771092710282
13,2216.2435694499404,1473.0,3641.0,348.11216552636336
14,2224.819351009102,1428.0,3722.0,375.1559712759263
15,2220.5207756232685,1399.0,3746.0,396.32324315540774
16,2206.3284527107244,1330.0,3741.0,407.4409488619411
17,2216.124851602691,1062.0,3724.0,411.8833081501133
18,2245.92402057776,982.0,3693.0,405.88730117055127
19,2257.960625247329,1021.0,3614.0,395.2026675760394
20,2240.577364463791,1015.0,3644.0,366.6304853318772
21,2222.4404432132965,1069.0,3455.0,334.1466298352279
22,2173.853977047883,1117.0,3444.0,321.26381402528045
23,2048.1149584487534,1098.0,3236.0,298.79177975431475
