month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,2217.7199500768047,1230.0,3180.0,317.1532896416511
2,February,2177.2759493670887,1305.0,3103.0,298.25623893095013
3,March,1974.9626105344098,1222.0,2781.0,272.32428330902627
4,April,1791.5988291327644,1169.0,2496.0,254.65820219860638
5,May,1848.2225422427036,1154.0,3219.0,341.670392828079
6,June,2129.0241071428572,1199.0,3495.0,443.7511739584694
7,July,2238.723214285714,1199.0,3722.0,496.69052031848486
8,August,2264.319102972945,1237.0,3746.0,486.2409130555273
9,September,1962.588141025641,982.0,3488.0,416.4312309524611
10,October,1834.1576066077603,1000.0,3154.0,281.7546930859083
11,November,1922.7779100922894,1230.0,2765.0,271.9536346016414
12,December,2103.913874219875,1261.0,2975.0,306.12134595094597
