hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,2918.522443890274,1096.0,4551.0,430.5637325303775
1,2744.603075644223,1002.0,4469.0,402.14372020395433
2,2628.995016611296,958.0,4400.0,386.8487926081946
3,2559.3651521467277,921.0,4340.0,378.0618818944649
4,2527.66251039069,912.0,4339.0,377.3755536685263
5,2551.405236907731,907.0,4352.0,384.4585792050043
6,2671.4642560266,937.0,4497.0,404.7935725178631
7,2878.6213632585204,1021.0,4673.0,450.39218948609005
8,3021.8657522859517,1069.0,4827.0,472.908163645339
9,3104.5743973399835,1201.0,4779.0,444.5497459040065
10,3187.689526184539,1290.0,4762.0,431.27318694533665
11,3268.5399002493764,1283.0,4845.0,450.90866524700346
12,3313.7938487115543,1261.0,5051.0,487.5898261500709
13,3348.2680798004985,1253.0,5172.0,534.8618529115831
14,3373.998753117207,1235.0,5340.0,582.9701857046225
15,3385.237738985869,1227.0,5421.0,621.990806201581
16,3395.002493765586,1213.0,5445.0,650.5377784888282
17,3417.569409808811,1252.0,5360.0,663.6681928737062
18,3459.7152950955942,1279.0,5362.0,649.4674555927113
19,3468.522859517872,1290.0,5327.0,622.0096850803644
20,3434.89110556941,1276.0,5194.0,570.6494026421344
21,3402.8420615128844,1398.0,5068.0,516.4563663771268
22,3323.5523690773066,1413.0,4983.0,499.1534400520538
23,3134.421030756442,1268.0,4755.0,467.8314178731559
