month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,3339.067217207605,2053.0,5105.0,495.35969082580795
2,February,3205.896675084175,2046.0,4750.0,446.6369512846948
3,March,2928.5379734666412,1870.0,4380.0,374.95421739764066
4,April,2666.5248015873017,907.0,3615.0,349.74208422951716
5,May,2935.6380568356376,1954.0,4690.0,557.2233386990547
6,June,3363.82876984127,1983.0,5445.0,682.5528611479384
7,July,3541.337365591398,2025.0,5362.0,729.9126058544687
8,August,3479.0323509860405,2097.0,5238.0,689.3306432005692
9,September,3074.6046296296295,1920.0,5146.0,659.2307863070791
10,October,2713.1048387096776,1906.0,3904.0,366.46374046472044
11,November,2848.83271633503,1044.0,4096.0,354.347065236186
12,December,3113.9574372759857,2019.0,4388.0,410.97724861920125
