hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,10028.61288989878,1253.0,19275.0,1730.6737976627664
1,9392.32858323007,6345.0,19268.0,1694.661052323062
2,9019.372958445318,5929.0,19433.0,1701.3857432423408
3,8827.247463242908,5705.0,19603.0,1730.5369121772358
4,8777.061544816192,5522.0,19813.0,1778.8773179228901
5,8941.711276332095,5518.0,20136.0,1852.8027101513348
6,9469.092523750516,5595.0,20532.0,1960.8459798075494
7,10301.95600991326,5680.0,21324.0,2122.021072824607
8,10857.948988021479,5894.0,21651.0,2102.9452752990774
9,11124.920900454357,6469.0,21037.0,1875.0352590338973
10,11328.603263114415,7303.0,20089.0,1734.4941956139714
11,11518.86204047914,8072.0,19392.0,1790.8411224940958
12,11650.68546055349,8188.0,18635.0,1973.2287236765637
13,11742.422552664188,8223.0,19268.0,2188.4237307751428
14,11818.806691449814,8132.0,19664.0,2392.792412743315
15,11868.709004543576,8016.0,19871.0,2549.864475419241
16,11947.397356464271,7953.0,20061.0,2643.9087087827465
17,12128.594175960347,7919.0,20037.0,2637.9224879786198
18,12426.619785212722,7914.0,19649.0,2521.097254872169
19,12467.066501445684,8014.0,19816.0,2349.303737391992
20,12346.341387856257,7390.0,19930.0,2112.475423802943
21,12192.318669971086,8389.0,19971.0,1965.8522496367368
22,11710.72945064023,7939.0,20588.0,1915.6093904622553
23,10885.597480380009,7424.0,19461.0,1802.17015569746
