month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,12194.191273779983,6858.0,21232.0,2254.370257385013
2,February,11711.259877384196,6789.0,21651.0,1987.404334696326
3,March,10306.833850931676,6459.0,17719.0,1702.7290708988405
4,April,9182.091569612137,6334.0,14791.0,1302.9057549721254
5,May,9775.899951992318,5786.0,17889.0,2000.9220548761618
6,June,11781.43115079365,6629.0,19249.0,2664.554854548124
7,July,12801.09178187404,7156.0,20588.0,2800.3908939521343
8,August,12369.397078489867,5518.0,19709.0,2682.4808729365573
9,September,10647.486004273504,6570.0,18293.0,2288.7431039905696
10,October,9298.641882109618,6287.0,15941.0,1440.7931755626607
11,November,9945.382815004808,6505.0,16199.0,1381.913101110411
12,December,11249.470271947059,1253.0,18138.0,1758.9654726401934
