hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,1546.7240475710541,1169.0,2532.0,207.2529053558788
1,1458.1821846029827,1102.0,2397.0,188.06840059612773
2,1403.896711720799,1064.0,2266.0,174.7389111488678
3,1372.170169765562,1039.0,2200.0,165.92656985912396
4,1356.902660217654,1024.0,2143.0,160.3212155511313
5,1367.574969770254,1025.0,2129.0,158.58364908639865
6,1422.824062877872,1014.0,2177.0,164.97822534233967
7,1517.341394598952,1053.0,2235.0,187.30350406778692
8,1593.9858927851674,1056.0,2375.0,204.84699380585286
9,1655.3869407496977,1123.0,2538.0,208.40979252276796
10,1710.6346231358323,1161.0,2697.0,215.88705013967243
11,1756.9836759371221,1160.0,2847.0,233.30848972183878
12,1787.2601773478436,1190.0,2958.0,254.97432951210604
13,1806.2803305118903,1191.0,3011.0,276.7046869599055
14,1820.8681983071342,1178.0,3054.0,298.8711921183925
15,1824.7329705763805,1167.0,3027.0,316.145139901235
16,1825.6686819830713,1128.0,3053.0,327.492861821567
17,1836.2015316404675,1153.0,3046.0,330.7260069738171
18,1853.7966545747681,1150.0,3029.0,321.6605548756076
19,1845.1755340588472,1148.0,2992.0,304.3262400996501
20,1823.7930270052398,1187.0,2908.0,276.23415044769706
21,1805.382305521967,1306.0,2864.0,253.95775986349582
22,1760.4957678355502,1293.0,2833.0,247.8008220568272
23,1658.3363563079404,1245.0,2699.0,228.9237932777372
