month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,1712.1869419107056,1134.0,2367.0,211.47418291319522
2,February,1687.2967299578058,1121.0,2314.0,205.37185166763456
3,March,1578.4419454056133,1077.0,2122.0,185.4748234015451
4,April,1463.7011311768208,1014.0,2061.0,183.0027093926302
5,May,1550.411386328725,1028.0,2831.0,283.1836258237212
6,June,1772.2372023809523,1073.0,3054.0,350.21007059463454
7,July,1912.2422235023041,1081.0,3029.0,385.3088698584042
8,August,1880.9309741796112,1135.0,3053.0,366.8163253335952
9,September,1649.459829059829,1054.0,2849.0,315.05145155583887
10,October,1492.543329886246,1050.0,2481.0,202.0837773576403
11,November,1540.8094474724805,1083.0,2058.0,187.53016495128776
12,December,1655.077241236687,1097.0,2281.0,206.93333741195627
