hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,1403.4197988353626,533.0,3277.0,327.4979234792526
1,1313.6754896770778,533.0,3255.0,343.7843974124221
2,1261.6231501057082,524.0,3257.0,359.42912923905413
3,1234.2340764331211,519.0,3252.0,374.17149246558165
4,1225.8316569613553,514.0,3330.0,390.5886843911699
5,1241.7834833245104,522.0,3342.0,403.76289429787926
6,1300.4229751191106,521.0,3409.0,419.2042306478436
7,1405.0857596611963,519.0,3479.0,440.29875986424844
8,1454.3372154579142,522.0,3490.0,440.0086912865569
9,1467.0227633668608,523.0,3373.0,407.82897583198377
10,1483.0460561143461,543.0,3207.0,363.2082086854927
11,1491.6633139227104,558.0,3010.0,325.0689169658638
12,1497.2413975648492,554.0,2957.0,304.16555580870556
13,1508.966649020646,561.0,2948.0,299.3326112013998
14,1518.4955002646902,588.0,2952.0,305.02681374541856
15,1521.1561672842774,564.0,2893.0,316.03088219571833
16,1533.0010587612494,567.0,2963.0,327.83714694056926
17,1568.31180518793,571.0,3092.0,334.9625242657309
18,1618.3377448385388,596.0,3254.0,340.2731801643957
19,1652.441503440974,645.0,3401.0,344.4057626345326
20,1654.3848597141346,752.0,3347.0,330.26772108162015
21,1648.2149285336156,800.0,3275.0,311.8689617966263
22,1616.0344097406035,736.0,3278.0,309.63963366280217
23,1522.2233986236104,642.0,3277.0,315.1660761806318
