month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,1913.345698924731,980.0,3431.0,466.66818086031594
2,February,1733.2854609929077,896.0,3490.0,421.691119902232
3,March,1462.592193808883,817.0,2855.0,305.08063553274764
4,April,1225.5744444444445,757.0,2071.0,198.25845818101635
5,May,1268.3346774193549,752.0,2072.0,239.72759386362483
6,June,1443.2498263486918,813.0,2351.0,321.5820396211434
7,July,1510.3382616487456,832.0,2363.0,346.6082885252657
8,August,1469.869992040329,802.0,2265.0,321.79237047577294
9,September,1291.4358333333332,514.0,2156.0,298.85813308566253
10,October,1184.8155913978494,738.0,1952.0,181.5700279393577
11,November,1427.6627810158202,808.0,2511.0,285.80485011349816
12,December,1644.0733870967742,805.0,2759.0,330.3764599073446
