hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,7305.117557251909,5520.0,11628.0,869.8116089849555
1,6908.521374045801,5266.0,10793.0,800.8069245181779
2,6651.78786722625,5134.0,10228.0,765.2032813917748
3,6507.730195177956,4996.0,9765.0,749.2111856886207
4,6439.62213740458,4911.0,9423.0,746.8764734266573
5,6500.997709923664,4909.0,9409.0,763.6553010730133
6,6774.421374045802,4964.0,9785.0,824.6393296343474
7,7252.9431297709925,4915.0,10307.0,978.4364966900561
8,7633.824045801527,5093.0,10746.0,1063.076763274601
9,7871.551145038168,5468.0,11023.0,1019.3159570480068
10,8085.014503816794,5760.0,11834.0,1003.1653102696806
11,8279.05572519084,5919.0,12567.0,1054.0777941546187
12,8373.109541984733,5896.0,13130.0,1127.495220794251
13,8434.74503816794,5950.0,13479.0,1218.282549431897
14,8499.297328244274,5889.0,13859.0,1317.6661358564165
15,8473.375954198473,5743.0,13954.0,1379.8637761514924
16,8441.172137404581,5588.0,14032.0,1415.9242449699457
17,8465.820992366413,5505.0,13953.0,1422.3129210741695
18,8546.878244274809,5529.0,13901.0,1388.7191590439213
19,8558.77213740458,5550.0,13763.0,1339.7654087572546
20,8498.632061068702,5693.0,13533.0,1220.8046438120793
21,8443.184351145039,5872.0,13244.0,1099.2349079949724
22,8258.943129770993,5956.0,13130.0,1049.8727733474389
23,7806.893129770992,5727.0,12470.0,965.5003775394202
