month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,8364.56355606759,5437.0,11351.0,1042.341416785284
2,February,8225.013257575758,5551.0,10770.0,995.7017790834149
3,March,7682.776389155932,5047.0,10401.0,890.4244801196048
4,April,7049.722023809524,4909.0,8862.0,800.2018300121445
5,May,7205.958717357911,4942.0,11931.0,1193.4869256504355
6,June,7997.162007292933,4994.0,12790.0,1519.7957180604285
7,July,8639.476478494624,4915.0,14032.0,1770.1922913142434
8,August,8371.585124595777,5281.0,12861.0,1578.5016780461508
9,September,7552.636706349206,4977.0,12715.0,1433.2784140102494
10,October,7037.302611367128,5036.0,9166.0,845.8066835030102
11,November,7343.879190636779,4989.0,10323.0,913.3392582605761
12,December,7880.651497695852,5252.0,10633.0,988.9423021523683
