hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,11626.883778234087,8800.0,20578.0,1701.3472939617634
1,10718.3591954023,8194.0,18762.0,1516.117090435728
2,10068.926718814328,7718.0,17459.0,1368.8060194363277
3,9655.251028806584,7394.0,16547.0,1262.8403619192063
4,9400.454433497536,7254.0,15890.0,1186.2588575785728
5,9296.9486863711,7117.0,15467.0,1144.6513037698835
6,9422.228653530377,7172.0,15370.0,1141.5302834101694
7,9904.926518883416,7018.0,15705.0,1228.816350703562
8,10734.098111658457,7003.0,16495.0,1479.4918473261168
9,11406.28366174056,7430.0,17833.0,1655.4083678875659
10,11881.468390804597,7863.0,19112.0,1717.6809336909862
11,12225.767651888342,8279.0,20171.0,1810.2889395217555
12,12538.366995073891,8418.0,21396.0,1977.3802626307486
13,12704.114121510673,8472.0,22279.0,2150.5542287681037
14,12794.079638752053,8511.0,22830.0,2315.6321356154353
15,12884.706075533662,8474.0,23355.0,2481.6601873012705
16,12892.252873563219,8383.0,23508.0,2594.021501767949
17,12899.494663382595,8226.0,23631.0,2643.786572209745
18,13051.286124794746,8305.0,23631.0,2606.6442862696317
19,13186.221674876848,8436.0,23390.0,2507.4688218448186
20,13110.460180623973,8631.0,22973.0,2315.3478832759374
21,13024.25,8784.0,22431.0,2093.0976188885975
22,12918.29844006568,9143.0,22416.0,1964.7082867871368
23,12485.5,9196.0,21929.0,1880.5431751692283
