month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,12062.895856662934,7938.0,16328.0,1552.8960028437712
2,February,11940.101331360947,8290.0,16207.0,1457.4867253132438
3,March,10976.995291479821,7782.0,14386.0,1360.8459300795269
4,April,10275.187355257063,7278.0,13156.0,1375.1267386094742
5,May,10463.7630113309,7003.0,19657.0,1911.628957697745
6,June,12514.053968253967,7196.0,21569.0,2859.937038975205
7,July,13533.982142857143,7451.0,23606.0,3097.692799567981
8,August,13434.322196620584,7389.0,23631.0,3032.510953514738
9,September,11606.954761904763,7520.0,20576.0,2337.299193785692
10,October,10535.035158501441,7325.0,18416.0,1663.1994440167477
11,November,10783.193407466242,7647.0,14826.0,1495.8324296926426
12,December,12042.093719992317,8089.0,16104.0,1597.8333732644842
