hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,29523.61119366023,15919.0,48415.0,4286.936722907034
1,27535.589963684386,15390.0,44949.0,3987.4263134047187
2,26344.05520661157,14955.0,42642.0,3803.2071766028625
3,25679.097665949346,14586.0,41760.0,3701.133416260898
4,25414.924727632882,14544.0,42096.0,3665.0419439611946
5,25749.431000330143,14821.0,43036.0,3717.7452450900255
6,27162.85391218224,15526.0,45055.0,3951.723355228816
7,29611.04688015847,16688.0,48155.0,4551.922317765487
8,31490.827830967315,17734.0,49354.0,4784.761344128066
9,32628.888246946186,18675.0,49365.0,4567.131091761574
10,33497.40343347639,19775.0,53325.0,4599.955912782111
11,34197.643116540115,20815.0,56984.0,4966.242882259846
12,34588.618355893035,21428.0,59502.0,5457.510447651075
13,34759.57114559261,21802.0,60904.0,5949.561321566037
14,34916.601683724,21978.0,61532.0,6423.590468949012
15,34940.669692967975,22065.0,61646.0,6781.758392909223
16,35065.39220864972,22260.0,61909.0,6984.639644737141
17,35596.05150214592,22602.0,62009.0,6950.0397682727735
18,36421.93149554308,22690.0,61610.0,6721.220255705137
19,36426.62991086167,22718.0,60286.0,6249.994420050476
20,36106.84021129085,23759.0,58789.0,5619.340171224258
21,35741.057279630244,21942.0,58305.0,5233.3329357272
22,34453.149884450315,19085.0,56822.0,5079.5420720309885
23,32047.501485638826,17422.0,52774.0,4675.497101965181
