month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,34343.24646161145,21199.0,49877.0,4850.703527782097
2,February,33434.97204861111,20380.0,49354.0,4407.822868360304
3,March,30514.903608736942,19247.0,44439.0,4087.417736846628
4,April,27863.339354311403,19255.0,44537.0,3848.545984156808
5,May,28695.36211258697,19360.0,53057.0,5321.708861574764
6,June,33811.79918300654,19695.0,59655.0,7436.621421412088
7,July,37881.97288108792,20912.0,61646.0,8077.008456881327
8,August,36595.9596753953,20727.0,62009.0,7733.89928784255
9,September,31484.0546875,19558.0,56336.0,6412.991995311856
10,October,28119.228674678543,14544.0,47556.0,4290.701798511524
11,November,29328.73387166797,20004.0,41285.0,3930.699024856967
12,December,32676.24766865496,19583.0,48030.0,4553.54130764392
