hour,average_consumption,minimum_consumption,maximum_consumption,variation
0,5230.368359309536,487.0,8830.0,721.4035822286078
1,4940.48927613941,3002.0,8597.0,720.0880529311235
2,4779.152348993289,2977.0,8622.0,733.8411995360111
3,4697.121996303143,2992.0,8584.0,753.0976165626772
4,4672.537365951743,3083.0,8632.0,776.1797550685102
5,4734.933478552279,3110.0,8780.0,806.9573520469485
6,4958.209450402145,2955.0,9078.0,859.3086592779136
7,5323.434316353887,2942.0,9512.0,959.1195775523751
8,5571.168398123325,2936.0,9594.0,965.4127622603137
9,5708.6670576407505,3044.0,9481.0,870.3066881451155
10,5818.219168900804,3450.0,9260.0,788.9376338682174
11,5904.120475871314,3564.0,9099.0,756.3744913097273
12,5947.523793565683,3231.0,9023.0,760.7118508103788
13,5959.946715817694,2878.0,8823.0,786.8145721512112
14,5970.935824396783,2721.0,8984.0,830.9577776833185
15,5953.164711796247,2663.0,8944.0,870.0130339544332
16,5957.636394101876,2574.0,8903.0,898.7125649160914
17,6031.231233243968,2586.0,8934.0,914.1724825140177
18,6158.806802949061,2600.0,9310.0,930.5034269103135
19,6199.285355227882,2630.0,9489.0,918.2326807959914
20,6183.56836461126,2922.0,9536.0,852.5603204866206
21,6152.210120643432,3279.0,9424.0,788.3785147410028
22,5982.300435656836,3067.0,9308.0,765.3441871950696
23,5618.226206434317,2690.0,8996.0,735.6119351661794
