month_number,month_name,average_consumption,minimum_consumption,maximum_consumption,variation
1,January,6447.667758736559,3876.0,9349.0,900.7123318680161
2,February,6296.808812684366,3796.0,9594.0,796.9540919048028
3,March,5654.097376387487,3339.0,8622.0,752.0052300703476
4,April,5022.310854994278,2553.0,6927.0,629.8110354640162
5,May,5015.845746363061,487.0,8202.0,769.0973175109727
6,June,5516.756045751634,3255.0,8589.0,1001.3565530232398
7,July,5861.537080961417,3283.0,8998.0,1118.3580658936478
8,August,5822.1428093365685,3512.0,8734.0,1074.9561520595955
9,September,5205.8720486111115,3197.0,8266.0,911.1189472489814
10,October,4997.642154802925,3322.0,7432.0,638.5230618220995
11,November,5403.630372492837,3623.0,7822.0,656.3508809638087
12,December,6064.431235822902,3585.0,8755.0,793.968815323673
